CALENDAR_DATE,DATE_WEEK,DATE_MONTH,DATE_QUARTER,DATE_YEAR,DAY_OF_MONTH,YEAR_NUM,QUARTER_NUM,MONTH_NUM
2019-01-01,2018-12-31,2019-01-01,2019-01-01,2019-01-01,1,2019,1,1
2019-01-02,2018-12-31,2019-01-01,2019-01-01,2019-01-01,2,2019,1,1
2019-01-03,2018-12-31,2019-01-01,2019-01-01,2019-01-01,3,2019,1,1
2019-01-04,2018-12-31,2019-01-01,2019-01-01,2019-01-01,4,2019,1,1
2019-01-05,2018-12-31,2019-01-01,2019-01-01,2019-01-01,5,2019,1,1
2019-01-06,2018-12-31,2019-01-01,2019-01-01,2019-01-01,6,2019,1,1
2019-01-07,2019-01-07,2019-01-01,2019-01-01,2019-01-01,7,2019,1,1
2019-01-08,2019-01-07,2019-01-01,2019-01-01,2019-01-01,8,2019,1,1
2019-01-09,2019-01-07,2019-01-01,2019-01-01,2019-01-01,9,2019,1,1
2019-01-10,2019-01-07,2019-01-01,2019-01-01,2019-01-01,10,2019,1,1
2019-01-11,2019-01-07,2019-01-01,2019-01-01,2019-01-01,11,2019,1,1
2019-01-12,2019-01-07,2019-01-01,2019-01-01,2019-01-01,12,2019,1,1
2019-01-13,2019-01-07,2019-01-01,2019-01-01,2019-01-01,13,2019,1,1
2019-01-14,2019-01-14,2019-01-01,2019-01-01,2019-01-01,14,2019,1,1
2019-01-15,2019-01-14,2019-01-01,2019-01-01,2019-01-01,15,2019,1,1
2019-01-16,2019-01-14,2019-01-01,2019-01-01,2019-01-01,16,2019,1,1
2019-01-17,2019-01-14,2019-01-01,2019-01-01,2019-01-01,17,2019,1,1
2019-01-18,2019-01-14,2019-01-01,2019-01-01,2019-01-01,18,2019,1,1
2019-01-19,2019-01-14,2019-01-01,2019-01-01,2019-01-01,19,2019,1,1
2019-01-20,2019-01-14,2019-01-01,2019-01-01,2019-01-01,20,2019,1,1
2019-01-21,2019-01-21,2019-01-01,2019-01-01,2019-01-01,21,2019,1,1
2019-01-22,2019-01-21,2019-01-01,2019-01-01,2019-01-01,22,2019,1,1
2019-01-23,2019-01-21,2019-01-01,2019-01-01,2019-01-01,23,2019,1,1
2019-01-24,2019-01-21,2019-01-01,2019-01-01,2019-01-01,24,2019,1,1
2019-01-25,2019-01-21,2019-01-01,2019-01-01,2019-01-01,25,2019,1,1
2019-01-26,2019-01-21,2019-01-01,2019-01-01,2019-01-01,26,2019,1,1
2019-01-27,2019-01-21,2019-01-01,2019-01-01,2019-01-01,27,2019,1,1
2019-01-28,2019-01-28,2019-01-01,2019-01-01,2019-01-01,28,2019,1,1
2019-01-29,2019-01-28,2019-01-01,2019-01-01,2019-01-01,29,2019,1,1
2019-01-30,2019-01-28,2019-01-01,2019-01-01,2019-01-01,30,2019,1,1
2019-01-31,2019-01-28,2019-01-01,2019-01-01,2019-01-01,31,2019,1,1
2019-02-01,2019-01-28,2019-02-01,2019-01-01,2019-01-01,1,2019,1,2
2019-02-02,2019-01-28,2019-02-01,2019-01-01,2019-01-01,2,2019,1,2
2019-02-03,2019-01-28,2019-02-01,2019-01-01,2019-01-01,3,2019,1,2
2019-02-04,2019-02-04,2019-02-01,2019-01-01,2019-01-01,4,2019,1,2
2019-02-05,2019-02-04,2019-02-01,2019-01-01,2019-01-01,5,2019,1,2
2019-02-06,2019-02-04,2019-02-01,2019-01-01,2019-01-01,6,2019,1,2
2019-02-07,2019-02-04,2019-02-01,2019-01-01,2019-01-01,7,2019,1,2
2019-02-08,2019-02-04,2019-02-01,2019-01-01,2019-01-01,8,2019,1,2
2019-02-09,2019-02-04,2019-02-01,2019-01-01,2019-01-01,9,2019,1,2
2019-02-10,2019-02-04,2019-02-01,2019-01-01,2019-01-01,10,2019,1,2
2019-02-11,2019-02-11,2019-02-01,2019-01-01,2019-01-01,11,2019,1,2
2019-02-12,2019-02-11,2019-02-01,2019-01-01,2019-01-01,12,2019,1,2
2019-02-13,2019-02-11,2019-02-01,2019-01-01,2019-01-01,13,2019,1,2
2019-02-14,2019-02-11,2019-02-01,2019-01-01,2019-01-01,14,2019,1,2
2019-02-15,2019-02-11,2019-02-01,2019-01-01,2019-01-01,15,2019,1,2
2019-02-16,2019-02-11,2019-02-01,2019-01-01,2019-01-01,16,2019,1,2
2019-02-17,2019-02-11,2019-02-01,2019-01-01,2019-01-01,17,2019,1,2
2019-02-18,2019-02-18,2019-02-01,2019-01-01,2019-01-01,18,2019,1,2
2019-02-19,2019-02-18,2019-02-01,2019-01-01,2019-01-01,19,2019,1,2
